gpsTOW	cT	EKF VelN	EKF VelE	EKF VelD	EKF PosN	EKF PosE	EKF PosD	EKF Roll	EKF Pitch	EKF Yaw	EKF Lat	EKF Lon	EKF Alt	CMP VelN	CMP VelE	CMP VelD	CMP PosN	CMP PosE	CMP PosD	CMP Roll	CMP Pitch	CMP Yaw	CMP Lat	CMP Lon	CMP Alt	GPS Lat	GPS Lon	GPS Alt	GPS VelN	GPS VelE	GPS VelD	AccelX	AccelY	AccelZ	GyroX	GyroY	GyroZ	MagX	MagY	MagZ	piAlpha	piPfwd	piP45	ardAlpha	ardPfwd	ardP45	Alpha	Beta
413337950.0000000	18225.0000000	-0.0072683	-0.0866959	-0.0520000	1.5206683	3.3191571	3.3190002	-1.1793729	2.4030664	124.9564514	29.1816284	-81.0454684	-16.8820000	0.0397085	-0.0415045	-0.0858764	0.3167207	0.0950332	16.9466839	-2.4375000	-2.0625000	36.1713028	29.1816250	-81.0454615	-16.9466839	29.1816284	-81.0454684	-16.8820000	0.0470000	0.0740000	-0.0520000	0.3600000	-0.3700000	9.9600000	-0.0000000	0.1250000	-0.0000000	-27.7500000	-18.0625000	32.6875000	66.7008667	8140.0000000	8150.0000000	32.4000015	8130.0000000	8131.0000000	0.5904325	1.3592784
413337975.0000000	18250.0000000	-0.0072683	-0.0866959	-0.0520000	1.5206683	3.3191571	3.3190002	-1.1786555	2.4042287	124.9572449	29.1816284	-81.0454684	-16.8820000	0.0391497	-0.0515576	-0.0916994	0.3167067	0.0947819	16.9468288	-2.4375000	-2.0625000	36.4316101	29.1816250	-81.0454615	-16.9468288	29.1816284	-81.0454684	-16.8820000	0.0470000	0.0740000	-0.0520000	0.3600000	-0.3500000	10.0799999	-0.0000000	-0.0625000	0.0625000	-27.3750000	-18.0625000	31.3750000	57.4782715	8143.0000000	8150.0000000	34.2000008	8133.0000000	8125.0000000	1.4976891	3.6651115
413338000.0000000	18275.0000000	-0.0062658	-0.0747378	-0.0590000	1.5206683	3.9829886	3.3820000	-1.1763417	2.4046266	124.9588318	29.1816284	-81.0454615	-16.8190002	0.0345953	-0.0094170	-0.0801646	0.3193370	0.0946298	16.8957367	-2.4375000	-2.0625000	36.4316101	29.1816250	-81.0454615	-16.8957367	29.1816284	-81.0454615	-16.8190002	0.0290000	0.0690000	-0.0590000	0.3600000	-0.3600000	9.9499998	0.1250000	0.0625000	0.0625000	-27.3750000	-18.0625000	31.3750000	51.3298798	8145.0000000	8150.0000000	33.3800011	8130.0000000	8125.0000000	0.0895875	-0.1392350
413338025.0000000	18300.0000000	-0.0062658	-0.0747378	-0.0590000	1.5206683	3.9829886	3.3820000	-1.1699153	2.4061768	124.9589844	29.1816284	-81.0454615	-16.8190002	0.0335983	-0.0185987	-0.0857901	0.3193120	0.0944003	16.8958778	-2.4375000	-2.0625000	37.2161598	29.1816250	-81.0454615	-16.8958778	29.1816284	-81.0454615	-16.8190002	0.0290000	0.0690000	-0.0590000	0.3300000	-0.3300000	10.0699997	-0.0625000	0.0000000	-0.0000000	-27.7500000	-18.8750000	31.8750000	57.4782715	8143.0000000	8150.0000000	31.1800003	8124.0000000	8128.0000000	-0.0886205	0.1352326
413338050.0000000	18325.0000000	-0.0062658	-0.0747378	-0.0590000	1.5206683	3.9829886	3.3820000	-1.1747220	2.4041841	124.9582748	29.1816284	-81.0454615	-16.8190002	0.0343621	-0.0288053	-0.0918092	0.3193311	0.0941451	16.8960285	-2.4375000	-2.0625000	37.2161598	29.1816250	-81.0454615	-16.8960285	29.1816284	-81.0454615	-16.8190002	0.0290000	0.0690000	-0.0590000	0.4100000	-0.3200000	10.0900002	-0.3750000	-0.1875000	-0.0625000	-27.7500000	-18.8750000	31.8750000	-123.2808990	8143.0000000	8144.0000000	32.5600014	8127.0000000	8125.0000000	-0.3186186	1.0852985
413338075.0000000	18350.0000000	-0.0062658	-0.0747378	-0.0590000	1.5206683	3.9829886	3.3820000	-1.1747768	2.4037840	124.9590912	29.1816284	-81.0454615	-16.8190002	0.0345745	-0.0402421	-0.0945417	0.3193364	0.0938592	16.8960972	-2.4375000	-2.0625000	35.8333244	29.1816250	-81.0454615	-16.8960972	29.1816284	-81.0454615	-16.8190002	0.0290000	0.0690000	-0.0590000	0.4200000	-0.3800000	9.9600000	0.3125000	0.1250000	0.1250000	-28.5625000	-18.5000000	31.3750000	-55.6485672	8145.0000000	8144.0000000	32.7999992	8133.0000000	8134.0000000	-0.4543923	3.0770416
413338100.0000000	18375.0000000	-0.0062658	-0.0747378	-0.0590000	1.5206683	3.9829886	3.3820000	-1.1677040	2.4057767	124.9622040	29.1816284	-81.0454615	-16.8190002	0.0339044	-0.0492117	-0.0991633	0.3193197	0.0936349	16.8962135	-2.4375000	-2.0625000	35.8333244	29.1816250	-81.0454615	-16.8962135	29.1816284	-81.0454615	-16.8190002	0.0290000	0.0690000	-0.0590000	0.3300000	-0.3200000	10.0299997	0.1875000	0.0000000	0.1250000	-28.5625000	-18.5000000	31.3750000	-55.6485672	8145.0000000	8144.0000000	34.8199997	8133.0000000	8120.0000000	-0.0971251	-0.0713564
413338100.0000000	18400.0000000	-0.0055139	-0.0657693	-0.0590000	1.5206683	3.9829886	3.4400005	-1.1622587	2.4069555	124.9637756	29.1816284	-81.0454615	-16.7609997	0.0408976	-0.0186087	-0.0865805	0.3219662	0.0934879	16.8422146	-2.4375000	-2.0625000	34.5213776	29.1816250	-81.0454615	-16.8422146	29.1816284	-81.0454615	-16.7609997	0.0510000	0.0420000	-0.0590000	0.3700000	-0.3300000	10.0799999	0.1875000	0.0625000	-0.0000000	-28.1875000	-17.3750000	30.2500000	75.5541916	8143.0000000	8147.0000000	33.7799988	8133.0000000	8128.0000000	0.0949270	0.0686719
413338125.0000000	18425.0000000	-0.0055139	-0.0657693	-0.0590000	1.5206683	3.9829886	3.4400005	-1.1542873	2.4101927	124.9638977	29.1816284	-81.0454615	-16.7609997	0.0401341	-0.0291930	-0.0893845	0.3219471	0.0932233	16.8422852	-2.4375000	-2.0625000	34.5213776	29.1816250	-81.0454615	-16.8422852	29.1816284	-81.0454615	-16.7609997	0.0510000	0.0420000	-0.0590000	0.3600000	-0.3800000	9.9600000	-0.0000000	0.1250000	0.0625000	-28.1875000	-17.3750000	30.2500000	-123.2808990	8143.0000000	8144.0000000	35.5800018	8136.0000000	8120.0000000	0.6176873	0.7055244
413338150.0000000	18450.0000000	-0.0055139	-0.0657693	-0.0590000	1.5206683	3.9829886	3.4400005	-1.1535881	2.4113402	124.9638977	29.1816284	-81.0454615	-16.7609997	0.0404532	-0.0392886	-0.0936721	0.3219551	0.0929709	16.8423920	-2.4375000	-2.0625000	34.2290573	29.1816250	-81.0454615	-16.8423920	29.1816284	-81.0454615	-16.7609997	0.0510000	0.0420000	-0.0590000	0.3800000	-0.3400000	10.0200005	-0.0000000	-0.0625000	-0.0625000	-28.1875000	-17.0625000	31.8750000	57.4782715	8143.0000000	8150.0000000	32.9199982	8130.0000000	8128.0000000	1.6021369	2.2300627
413338175.0000000	18475.0000000	-0.0055139	-0.0657693	-0.0590000	1.5206683	3.9829886	3.4400005	-1.1528872	2.4109254	124.9639435	29.1816284	-81.0454615	-16.7609997	0.0407754	-0.0496682	-0.0961954	0.3219631	0.0927114	16.8424549	-2.4375000	-2.0625000	34.2290573	29.1816250	-81.0454615	-16.8424549	29.1816284	-81.0454615	-16.7609997	0.0510000	0.0420000	-0.0590000	0.3900000	-0.3500000	9.9499998	-0.0000000	0.0000000	0.0625000	-28.1875000	-17.0625000	31.8750000	57.3912125	8151.0000000	8141.0000000	32.5600014	8127.0000000	8125.0000000	0.1001665	-0.0558660
